Station,Latitude,Longitude,Zone,Postcode
Holloway Road,51.552816,-0.112936,2,N7 8HS
Homerton,51.546595,-0.038512,2,E9 5SD
Honor Oak Park,51.450648,-0.044153,3,SE23 3LE
Horley,51.168919,-0.161073,13,RH6 7NL
Hornchurch,51.554355,0.218927,6,RM12 6LS
Hornsey,51.586475,-0.111816,3,N8 8SE
Hounslow,51.462505,-0.361796,5,TW3 3DL
Hounslow Central,51.470926,-0.365958,4,TW3 1JG
Hounslow East,51.473708,-0.355275,4,TW3 4AB
Hounslow West,51.473106,-0.385708,5,TW3 3DH
Hoxton,51.531392,-0.075586,1,E2 8HR
Hyde Park Corner,51.502584,-0.152474,1,SW1X 7LY
Ickenham,51.560825,-0.44158,6,UB10 8PD
Ilford,51.559142,0.068685,4,IG1 4DU
Imperial Wharf,51.474939,-0.182838,2,SW6 2HA
Island Gardens,51.48795,-0.010493,2,E14 3FA
Isleworth,51.475037,-0.337329,4,TW7 4BX
Kenley,51.3246,-0.10122,6,CR8 5JA
Kennington,51.488662,-0.105071,2,SE11 4JQ
Kensal Green,51.530524,-0.224713,2,NW10 5JT
Kensal Rise,51.534215,-0.220821,2,NW10 3NT
Kensington (Olympia),51.49788,-0.210379,2,W14 0NE
Kent House,51.412718,-0.045816,4,BR3 1JF
Kentish Town,51.55001,-0.140471,2,NW5 2AA
Kentish Town West,51.546548,-0.146756,2,NW5 3LD
Kenton,51.581496,-0.315217,4,HA3 0XS
Kew Bridge,51.490005,-0.288846,3,TW8 0EF
Kew Gardens,51.476789,-0.285381,3,TW9 3PZ
Kidbrooke,51.46269,0.0283,3,SE3 9NF
Kilburn,51.546944,-0.204633,2,NW6 7QL
Kilburn High Road,51.537268,-0.191113,2,NW6 7QL
Kilburn Park,51.535136,-0.193966,2,NW6 5AD
King George V,51.502009,0.062206,3,E16 2JF
King's Cross,51.530798,-0.122756,1,N1 9AL
King's Cross St. Pancras,51.530312,-0.123872,1,N1 9AL
Kingsbury,51.584877,-0.278602,4,NW9 9EG
Kingston,51.412642,-0.301141,6,KT1 1UJ
Kingswood,51.294723,-0.211233,6,KT20 6EN
Knightsbridge,51.501355,-0.160664,1,SW3 1ED
Knockholt,51.345752,0.130831,6,TN14 7HR
Ladbroke Grove,51.517211,-0.210198,2,W10 6HJ
Ladywell,51.456192,-0.019244,3,SE13 7XB
Lambeth North,51.49913,-0.111768,1,SE1 7XG
Lancaster Gate,51.511891,-0.17543,1,W2 4QH
Langdon Park,51.518884,-0.015214,2,E14 6NW
Latimer Road,51.513958,-0.21746,2,W10 6SZ
Lea Bridge,51.566636,-0.036683,3,E10 7PG
Lee,51.449459,0.013365,3,SE12 9JG
Leicester Square,51.511291,-0.128242,1,WC2H 0AP
Lewisham DLR,51.464881,-0.012433,2,SE13 7RY
Lewisham NR,51.464881,-0.012433,2,SE13 7RY
Leyton,51.558132,-0.006465,3,E10 5PS
Leyton Midland Road,51.569364,-0.008066,3,E10 6JT
Leytonstone,51.568522,0.00914,3,E11 1HE
Leytonstone High Road,51.563807,0.008254,3,E11 4RE
Limehouse DLR,51.512312,-0.03938,2,E14 7JD
Limehouse NR,51.512312,-0.03938,2,E14 7JD
Liverpool Street LU,51.517598,-0.08225,1,EC2M 7PR
